program	symptom	n	term	beta	hc3_se	ci_low	ci_high	P	status	BH_q_pairwise
P2	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	0.237252028552744	0.293852995797709	-0.347006452507881	0.821510509613369	0.421699227745443	COMPLETED	0.948517192714509
P2	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	0.0724203158802146	0.273585530881737	-0.471541015122062	0.616381646882492	0.791875139182831	COMPLETED	0.959756822463525
P2	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	0.230776342280986	0.25985879820875	-0.285892566673071	0.747445251235043	0.37700195984811	COMPLETED	0.948517192714509
P2	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	0.0593651970579606	0.247221435517512	-0.432177249221958	0.550907643337879	0.810807920011693	COMPLETED	0.959756822463525
P2	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.0385647831354711	0.346438241693122	-0.727376821016743	0.650247254745801	0.911626688718462	COMPLETED	0.961942097882373
P2	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	-0.0093802474916268	0.281582485415954	-0.56924166655184	0.550481171568586	0.973503399982451	COMPLETED	0.981168781084675
P2	evoked	95	treatmentAZD2423 150 mg:xb_z	0.143463699965885	0.286307899501629	-0.425793108270418	0.712720508202188	0.617608693317873	COMPLETED	0.948517192714509
P2	evoked	95	treatmentAZD2423 20 mg:xb_z	0.147555004246882	0.268887466702281	-0.387065316520113	0.682175325013877	0.584607955583035	COMPLETED	0.948517192714509
P2	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	0.268138369282145	0.376090545522747	-0.479630392686333	1.01590713125062	0.477821877889088	COMPLETED	0.948517192714509
P2	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	0.225039188741526	0.364828476951247	-0.50033756371443	0.950415941197483	0.538991893962942	COMPLETED	0.948517192714509
P3	npsi_total	95	treatmentAZD2423 150 mg:xb_z	0.0616683568201116	0.241203460265818	-0.417908742398871	0.541245456039094	0.798823766073065	COMPLETED	0.959756822463525
P3	npsi_total	95	treatmentAZD2423 20 mg:xb_z	0.0482649964839185	0.241859135360385	-0.432615760483324	0.529145753451161	0.842302672367729	COMPLETED	0.961385956943818
P3	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.0336244069311662	0.274557567881443	-0.51175047348127	0.578999287343603	0.902798760780654	COMPLETED	0.961942097882373
P3	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.0765177166673531	0.270158055790495	-0.613153506771744	0.460118073437037	0.777641448982993	COMPLETED	0.959756822463525
P3	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.0789373932834754	0.298728819986227	-0.514450710103598	0.672325496670548	0.79218919103379	COMPLETED	0.959756822463525
